,tweets,label
0,"Trus nih buat yg nanya kenapa gak dibangun di papua aja? Karena provinsi yang berada di timur Indonesia itu belum memiliki infrastruktur dan fasilitas pengolahan lanjutan yang memadai.
#Freeport",Non_R
1,"PLAY & Let The Fun Begin 😱
Like + RT + Click ⬇️
 https://www.reddeergames.com 
Did You see it? 🙈 pic.twitter.com/45a6EF3ixr",Non_R
2,"Papua adalah bagian dari NKRI
#DukungOtsusPapuaMaju",Non_R
3,"Akar konflik harus dibicarakan.
Dan dicari titik temu, sampai selesai.
Sy yakin bisa. Sy pernah ke papua, sambutan dgn nyanyian rohani, menyejukkan. Sy yakin Tuhan Yesus Kristus ada dipapua. 

Semoga hal2 buruk dr pihak manapun tdk terjadi lagi. TYM Papua.",Non_R
4,"""Saya minta kita semua jadi orang Papua. Artinya kita kulit hitam, kulit putih, rambut keriting, rambut lurus, mata sipit, mata menyala, kita semua Indonesia, betul to?"" 
°°Edo Kondologit°°

#DukungOtsusPapuaMaju pic.twitter.com/OrMKsC8BVw",Non_R
5,kasiankah ujung2nya semua mrk jdi kurir politik ats nama bela nduga..bukan keseluruhan papua.,Non_R
6,SSB United Sentani Juara I Sepak Bola Pangdam CUP https://kabarpapua.co/ssb-united-sentani-juara-i-sepak-bola-pangdam-cup/ …,Non_R
7,"Dan ketika VK berhasil menyerahkan papua pada majikan cina-nya, ketika imigran cina mengalir deras, penjarahan sejati sebagaimana yg cuma org cina bisa lakukan terjadi, ketika genosida beneran oleh cina pada oap terjadi, saat itu oap akan menyesal mereka pernah mengenal VK...",R
8,ni ada diskriminasi terhadap orang Papua terkait penegakan hukum. kita tunggu saja. sebelum saya lapor Propam,Non_R
9,Vidio bokep papua,Non_R
10,Papua juga bagian dari Indonesia lho.  https://twitter.com/embun____/status/1294259735084937218 …,Non_R
11,"ㅤ
ㅤ
See you next time again, pulau Raja Ampat.

Terima kasih atas keindahan-mu.

ㅤㅤㅤㅤ📍 Sentani Airport, Jayapura, Papua.
ㅤ
ㅤ  pic.twitter.com/fCsIEfaS2x",Non_R
12,"kalau sudah dibayar, ya bagus. kalau belum, segeralah bayar. daripada persoalan meluas dan ada yang harus masuk proses. mohon perhatian Disorda Provinsi Papua",Non_R
